GEOSTAT_gr;GRD_ID;kolej;10km;15km;20km
2416;1kmN3056E4939;;;;
3943;1kmN3057E4939;1;;;
95;1kmN3058E4939;;;;
460;1kmN3059E4939;;;;
624;1kmN3060E4939;;;;
273;1kmN3061E4939;;;1;
39;1kmN3062E4939;;;1;
354;1kmN3065E4939;;0;1;
5;1kmN3066E4939;;5;1;
64;1kmN3068E4939;;;1;
294;1kmN3069E4939;;;1;
25;1kmN3070E4939;;;;
56;1kmN3073E4939;;;;
143;1kmN3081E4939;;;;
495;1kmN3083E4939;;;;
15;1kmN3032E4940;;;;
368;1kmN3033E4940;;;;
247;1kmN3034E4940;;;;
768;1kmN3035E4940;;;;
39;1kmN3036E4940;;;;0
54;1kmN3037E4940;;;;0
92;1kmN3038E4940;;;;5
1454;1kmN3040E4940;;;;
636;1kmN3041E4940;;;0;
47;1kmN3042E4940;;;0;
547;1kmN3043E4940;;;5;
810;1kmN3048E4940;;;;
226;1kmN3049E4940;;5;;
27;1kmN3050E4940;;;;1
429;1kmN3052E4940;;;;
18;1kmN3054E4940;;;;
151;1kmN3055E4940;;;;
1357;1kmN3056E4940;;;;
368;1kmN3057E4940;1;;;
1;1kmN3058E4940;;;1;
26;1kmN3059E4940;;;1;
710;1kmN3060E4940;;;1;
227;1kmN3061E4940;;;1;
68;1kmN3062E4940;;;;
347;1kmN3063E4940;;;;
50;1kmN3064E4940;;;;
141;1kmN3065E4940;;0;;
13;1kmN3067E4940;;5;;
61;1kmN3069E4940;;;1;
586;1kmN3070E4940;;;1;
134;1kmN3071E4940;;;1;
28;1kmN3072E4940;;;5;
24;1kmN3073E4940;;;5;
128;1kmN3075E4940;;;;
17;1kmN3080E4940;;;;1
222;1kmN3081E4940;;;;
136;1kmN3082E4940;;;;
153;1kmN3083E4940;;;;
20;1kmN3032E4941;;;;
119;1kmN3035E4941;;;;
10;1kmN3036E4941;;;;
21;1kmN3037E4941;;;;0
122;1kmN3038E4941;;;;5
591;1kmN3039E4941;;;;
127;1kmN3042E4941;;;0;
758;1kmN3043E4941;;;5;
49;1kmN3044E4941;;;;
16;1kmN3046E4941;;;;
356;1kmN3048E4941;;5;;
1182;1kmN3049E4941;;5;;1
192;1kmN3050E4941;;;;1
351;1kmN3052E4941;;;;
40;1kmN3053E4941;;;;
690;1kmN3055E4941;;;;
10620;1kmN3056E4941;;;;
5369;1kmN3057E4941;1;;1;
2230;1kmN3058E4941;;;1;
617;1kmN3059E4941;;;;
130;1kmN3062E4941;;;;
494;1kmN3063E4941;;;;
236;1kmN3064E4941;;0;;
60;1kmN3065E4941;;0;;
84;1kmN3066E4941;;;;
776;1kmN3067E4941;;5;;
59;1kmN3068E4941;;5;;
35;1kmN3069E4941;;;;
302;1kmN3070E4941;;;0;
855;1kmN3071E4941;;;;
11;1kmN3072E4941;;;1;
415;1kmN3073E4941;;;5;
48;1kmN3074E4941;;;;
713;1kmN3075E4941;;;;0
232;1kmN3076E4941;;;;0
165;1kmN3080E4941;;;;1
925;1kmN3081E4941;;;;1
131;1kmN3082E4941;;;;
14;1kmN3035E4942;;;;
124;1kmN3036E4942;;;;
265;1kmN3037E4942;;;;0
645;1kmN3038E4942;;;;5
293;1kmN3039E4942;;;;
10;1kmN3040E4942;;;;
241;1kmN3042E4942;;;0;
592;1kmN3043E4942;;;5;
107;1kmN3044E4942;;;;
7;1kmN3046E4942;;;;
65;1kmN3047E4942;;;;
13;1kmN3048E4942;;5;;
1331;1kmN3049E4942;;;;1
251;1kmN3050E4942;;;;
621;1kmN3051E4942;;;;3
1157;1kmN3052E4942;;;;3
23;1kmN3053E4942;;;;3
271;1kmN3055E4942;;;1;3
1246;1kmN3056E4942;;;1;3
810;1kmN3057E4942;1;;1;3
2593;1kmN3058E4942;1;;;3
331;1kmN3059E4942;1;;;3
218;1kmN3062E4942;;;;
