43,"LINESTRING (19.09179211 50.08939209, 19.09212 50.08981)"
65,"LINESTRING (19.09179211 50.08939209, 19.09719944 50.10032189)"
80,"LINESTRING (19.09212 50.08981, 19.09212 50.08981)"
63,"LINESTRING (19.09212 50.08981, 19.09738 50.09852)"
621,"LINESTRING (19.09212 50.08981, 19.09719944 50.10032189)"
63,"LINESTRING (19.09738 50.09852, 19.10501003 50.11545981)"
686,"LINESTRING (19.09719944 50.10032189, 19.10501003 50.11545981)"
788,"LINESTRING (18.98058236 50.3791923, 18.99141312 50.37935308)"
788,"LINESTRING (18.98058236 50.3791923, 18.97774458 50.37324981)"
517,"LINESTRING (19.01724815 50.39421114, 19.01551008 50.38608493)"
517,"LINESTRING (19.01724815 50.39421114, 19.01287079 50.39659128)"
788,"LINESTRING (18.99141312 50.37935308, 18.99926662 50.38050591)"
856,"LINESTRING (18.9636898 50.3759868, 18.97774458 50.37324981)"
626,"LINESTRING (18.9636898 50.3759868, 18.95419478 50.37162122)"
517,"LINESTRING (19.01551008 50.38608493, 19.02141094 50.38195289)"
436,"LINESTRING (18.99926662 50.38050591, 19.01089668 50.37957202)"
352,"LINESTRING (18.99926662 50.38050591, 19.00351524 50.38230865)"
12,"LINESTRING (18.97774458 50.37324981, 18.97774458 50.37324981)"
878,"LINESTRING (18.97774458 50.37324981, 18.97243381 50.3694246)"
129,"LINESTRING (18.97774458 50.37324981, 18.98222923 50.36665301)"
895,"LINESTRING (18.97774458 50.37324981, 18.99098396 50.36928089)"
11,"LINESTRING (19.01089668 50.37957202, 19.00351524 50.38230865)"
447,"LINESTRING (19.01089668 50.37957202, 19.01495218 50.37263396)"
354,"LINESTRING (19.00351524 50.38230865, 19.00559664 50.38727522)"
11,"LINESTRING (19.00351524 50.38230865, 19.00939465 50.39251487)"
354,"LINESTRING (19.00559664 50.38727522, 19.00939465 50.39251487)"
126,"LINESTRING (18.98626328 50.39864302, 18.98626328 50.39864302)"
336,"LINESTRING (18.98626328 50.39864302, 19.00377274 50.39538754)"
326,"LINESTRING (18.98626328 50.39864302, 19.00289297 50.39444368)"
536,"LINESTRING (18.98626328 50.39864302, 18.98609161 50.40807992)"
126,"LINESTRING (18.98626328 50.39864302, 18.97409678 50.39886187)"
89,"LINESTRING (19.00377274 50.39538754, 19.00939465 50.39251487)"
425,"LINESTRING (19.00377274 50.39538754, 19.01287079 50.39659128)"
327,"LINESTRING (19.01862144 50.4008041, 19.01287079 50.39659128)"
327,"LINESTRING (19.01862144 50.4008041, 19.02814865 50.40709529)"
516,"LINESTRING (19.00939465 50.39251487, 19.01287079 50.39659128)"
412,"LINESTRING (19.00939465 50.39251487, 19.00289297 50.39444368)"
476,"LINESTRING (19.01287079 50.39659128, 19.01287079 50.39659128)"
86,"LINESTRING (19.01287079 50.39659128, 19.00289297 50.39444368)"
1266,"LINESTRING (19.01287079 50.39659128, 19.02428627 50.39308942)"
375,"LINESTRING (19.06119347 50.43750004, 19.05757785 50.43128806)"
143,"LINESTRING (19.06119347 50.43750004, 19.06726599 50.45018797)"
232,"LINESTRING (19.06119347 50.43750004, 19.06733036 50.45004451)"
661,"LINESTRING (19.04055119 50.43359117, 19.04947758 50.43236104)"
6,"LINESTRING (19.04055119 50.43359117, 19.03313756 50.43905803)"
657,"LINESTRING (19.04055119 50.43359117, 19.03007984 50.43520396)"
2,"LINESTRING (19.04055119 50.43359117, 19.049263 50.432033)"
88,"LINESTRING (19.04947758 50.43236104, 19.04947758 50.43236104)"
91,"LINESTRING (19.04947758 50.43236104, 19.05757785 50.43128806)"
572,"LINESTRING (19.04947758 50.43236104, 19.04850125 50.42842441)"
2,"LINESTRING (19.04947758 50.43236104, 19.049263 50.432033)"
900,"LINESTRING (19.04005766 50.44871233, 19.0365386 50.44374536)"
654,"LINESTRING (19.04005766 50.44871233, 19.05381203 50.44892411)"
246,"LINESTRING (19.04005766 50.44871233, 19.04280424 50.46145189)"
637,"LINESTRING (19.02377129 50.44509817, 19.0365386 50.44374536)"
637,"LINESTRING (19.02377129 50.44509817, 19.01250601 50.44794033)"
68,"LINESTRING (19.0365386 50.44374536, 19.0365386 50.44374536)"
325,"LINESTRING (19.0365386 50.44374536, 19.03313756 50.43905803)"
327,"LINESTRING (19.02814865 50.40709529, 19.04687047 50.41143025)"
454,"LINESTRING (19.04687047 50.41143025, 19.05832887 50.40870898)"
22,"LINESTRING (19.04687047 50.41143025, 19.03313756 50.43905803)"
759,"LINESTRING (19.04687047 50.41143025, 19.05243874 50.42221124)"
140,"LINESTRING (19.05832887 50.40870898, 19.07640696 50.3993064)"
