GRD_ID,GEOSTAT_gr,GEOSTAT__1,GEOSTAT__2,GEOSTAT__3,GEOSTAT__4,GEOSTAT__5,prznagl,kolej,10km,15km,20km
1kmN3055E4934,720,PL,A,2011,PL,0,,,5,,
1kmN3056E4934,135,PL,A,2011,PL,0,,,5,,
1kmN3057E4934,2051,PL,A,2011,PL,0,,,5,,
1kmN3058E4934,33,PL,A,2011,PL,0,,,5,,
1kmN3059E4934,25,PL,A,2011,PL,0,,1,5,,
1kmN3060E4934,1697,PL,A,2011,PL,0,,1,5,,1
1kmN3061E4934,6108,PL,A,2011,PL,0,,,5,,1
1kmN3063E4934,6,PL,A,2011,PL,0,,,,,1
1kmN3064E4934,290,PL,A,2011,PL,0,,,,,1
1kmN3067E4934,168,PL,A,2011,PL,0,,,,,1
1kmN3069E4934,16,PL,A,2011,PL,0,,,,5,1
1kmN3070E4934,15,PL,A,2011,PL,0,,,,5,
1kmN3071E4934,155,PL,A,2011,PL,0,,,,0,
